tweet_test
พี่เจนอย่าแกงน้องนะคะ
แอดแกงตัวเองทำไม
ทวิตแกงสุดๆ
ทวิตเลิกแกงพวกเราเถอะ
แกงมากกก
อย่าแกงน้อง
วันนี่อย่าแกงกันขอร้อง
กูโดนแกงแน่เลย
โดนระงับเกือบทุกแอคอีกละแกงมาก
รูปแรกแกงตัวเองทำไมมมม
คุณโป้ยโดนแกงไม่เป็นไรนะครับมาร้องให้ไลฟ์แทนได้ครับ
อย่าแกงน้อง
วันนี้จะโดนแกงหรือไม่
หาแกงป้า
อย่าแกงชั้นนะ
จะไม่ยอมโดนทวิตแกงใช่มั้ย
ไม่มีความสัมพันธ์กันเพราะทวิตแกงเราใช่ไหม
เอ็นดูใครแกงลูกกกก
เค้าแกงตัวเอง
แกงน้องเก่งมาก
แกงตัวเองอะ
เอ้าไม่มีสัมหรอแกงมาก
วาจีมันแกงเราค่ะ
โอ๊ยยยใครแกงพี่มาร์คของฉัน
สับตรูที่รักพงกเทอมันหยุดแกงกันไม่ได้
ทวิตเลิกแกงเพื่อกันได้มั้ยคะ
นกฟ้าวันนี้อย่าแกงกันนะ
แกแกงชั้นรึนังนกฟ้าเดี๋ยวเหอะๆ
ใครแกง
