context,next_word,probability
"('โดน',)",เท,0.06863876863876864
"('ตลอด',)",เท,0.014652608813192755
(),เท,0.45585585585585586
"('โดน', 'ตลอด')",เท,0.011871455297123246
"('โดน', 'เธอ')",เท,0.012894904553199879
"('จะ', 'ไม่')",เท,0.034014597495878936
"('สัก', 'วิชา')",เท,0.009046167647014281
"('จะ', 'ไม่', 'สัก', 'วิชา')",เท,0.009011661090768596
"('เทอม', 'สุดท้าย')",เท,0.009333295664176637
"('ก็ได้', 'แหละ')",เท,0.006883557286367896
"('เทอม', 'สุดท้าย', 'ก็ได้', 'แหละ')",เท,0.006850954260807124
"('จะ',)",เท,0.027947746697746696
"('สังคม', 'ก็')",เท,0.016222230965641193
"('จะ', 'สังคม', 'ก็')",เท,0.0162064854137596
"('จะ', 'โดน')",เท,0.049182344748847216
"('โดน', 'ผู้')",เท,0.015955790093721126
"('ค่ะ', 'อีดอก')",เท,0.006755644824183862
"('โดน', 'ผู้', 'ค่ะ', 'อีดอก')",เท,0.006726013877623273
"('ก็', 'ไม่')",เท,0.03422652543307955
"('ก็', 'โดน')",เท,0.05289742820061686
"('ก็', 'โดน', 'ตลอด')",เท,0.011410408729020717
"('เลย', 'สิ')",เท,0.007693273257231098
"('กี่', 'วิชา')",เท,0.007665877873353283
"('ดี', 'มั้ย')",เท,0.007635311110352906
"('กู',)",เท,0.013708034369740454
"('คณิต', 'บาย')",เท,0.0065504489488481706
"('กู', 'คณิต', 'บาย')",เท,0.006524728784239116
"('มา', 'ทั้งนั้น')",เท,0.00649545703708812
"('โดน', 'มา', 'ทั้งนั้น')",เท,0.006470669282239016
"('ละ', 'เห้อ')",เท,0.006442083881177796
"('กู', 'ละ', 'เห้อ')",เท,0.006418178736790723
"('จริงๆ', 'แล้ว')",เท,0.013207856100756815
"('จะ', 'จริงๆ', 'แล้ว')",เท,0.0131962538267111
"(' ', 'อยาก')",เท,0.01860748534035525
"('ตอนนี้',)",เท,0.01326880419439403
"('ละ', 'จบ')",เท,0.006355848732600255
"('ตอนนี้', 'ละ', 'จบ')",เท,0.00633357304873676
"('ละ',)",เท,0.023007791406310266
"('โดน', 'ละ')",เท,0.017441577025868255
"('คน', 'ไม่')",เท,0.03386226800019903
"('เรา',)",เท,0.013131115459882582
"('เขา', 'แล้ว')",เท,0.013067283600181301
"('เรา', 'เขา', 'แล้ว')",เท,0.013056583377616672
"('เรียน', 'เอง')",เท,0.008573409747116659
"('ไป', 'เยอะ')",เท,0.006264097389297702
"('เรียน', 'เอง', 'ไป', 'เยอะ')",เท,0.006243520622525065
"('ผม', 'จะ')",เท,0.01938708988450982
"('ทุกอย่าง', 'เพื่อ')",เท,0.0062076480692647715
"('ผม', 'จะ', 'ทุกอย่าง', 'เพื่อ')",เท,0.006187956246294261
"('พรุ่งนี้',)",เท,0.009505423791138078
"('คอนเสิร์ต', 'ของ')",เท,0.006162737813147035
"('พรุ่งนี้', 'คอนเสิร์ต', 'ของ')",เท,0.006143672763196605
"('รอ',)",เท,0.012726688562044838
"('กลัว', 'โดน')",เท,0.044027360422277624
"('อี', 'กรอบ')",เท,0.006109687638825942
"('กลัว', 'โดน', 'อี', 'กรอบ')",เท,0.006091412785024772
"('เลิก',)",เท,0.012604166666666666
"('แต่', 'โดน')",เท,0.04479192948544206
"('นี่', 'อยาก')",เท,0.016893157904917255
"('มาก', 'ๆ')",เท,0.006049587596387503
"('นี่', 'อยาก', 'มาก', 'ๆ')",เท,0.006032233264312358
"('ได้', 'ไง')",เท,0.006008773327385315
"('โดน', 'ได้', 'ไง')",เท,0.005991938310550299
"('เพื่อน', 'ก็')",เท,0.015625539703264284
"('เส้า', 'อะ')",เท,0.005960719956926856
"('เพื่อน', 'ก็', 'เส้า', 'อะ')",เท,0.0059445418685297804
"('งาน', 'นี้')",เท,0.008115030594104712
"('ที่', 'ทีม')",เท,0.005914154855148038
"('งาน', 'นี้', 'ที่', 'ทีม')",เท,0.005898595980365862
"('ทิ้ง', 'งาน')",เท,0.024401879500811855
"('งาน',)",เท,0.03344824511872567
"('ทิ้ง', 'งาน', 'งาน')",เท,0.023346087655388703
"('พร้อม', 'มาก')",เท,0.010176334746131567
"('งาน', 'แล้ว')",เท,0.012277527003320974
"('พร้อม', 'มาก', 'งาน', 'แล้ว')",เท,0.012270145186212876
"('ตา', 'ไม่')",เท,0.030083446048057582
"('ไม่', 'หาย')",เท,0.010146943512067127
"('ตา', 'ไม่', 'ไม่', 'หาย')",เท,0.010139765791711112
"('เล็กน้อย', 'ไม่')",เท,0.030061911959595542
"('กัน', 'เดี๋ยว')",เท,0.00581075064690176
"('เล็กน้อย', 'ไม่', 'กัน', 'เดี๋ยว')",เท,0.00579685017428569
"('ว่า', 'กุ')",เท,0.01215835359461264
"('แน่', 'คน')",เท,0.005769053087665075
"('กุ',)",เท,0.014991105755436966
"('ว่า', 'กุ', 'แน่', 'คน')",เท,0.005755646824258811
"('อีก', 'ไหม')",เท,0.005735068537551492
"('จะ', 'โดน', 'อีก', 'ไหม')",เท,0.005722015837274123
"('เรียก', 'ว่า')",เท,0.00783854199925925
"('แอ', 'ค')",เท,0.0056954056341049575
"('เรียก', 'ว่า', 'แอ', 'ค')",เท,0.005682803001414989
"('ที่มา', 'โดน')",เท,0.0416350691260949
