context,next_word,probability
"('เด็ก',)",แกง,0.009299352550620643
"('อย่า', 'เด็ก')",แกง,0.007954986925337668
"('ไม่', 'กัน')",แกง,0.014334330114373293
"('ชาวบ้าน',)",แกง,0.009221146085552865
"('หา', 'ชาวบ้าน')",แกง,0.007014717834569358
"('ก็ช่าง',)",แกง,0.009170844274687675
"('นะคะ',)",แกง,0.00914622101062779
"('ก็ช่าง', 'นะคะ')",แกง,0.006963127372731893
"('นาน',)",แกง,0.00909799337619326
"('อย่า', 'นาน')",แกง,0.006929090841394123
"('มัน',)",แกง,0.014574544901759587
"('อย่า', 'กัน')",แกง,0.01417916899161447
"('ค่ะ',)",แกง,0.011782670990121409
"('แม่', 'ค่ะ')",แกง,0.008715090388982277
"('เดี่ยว',)",แกง,0.008960975792269989
"('หยุด', 'เดี่ยว')",แกง,0.006832061147930019
"('ห้าม',)",แกง,0.008917691370333445
"('ห้าม', 'หนู')",แกง,0.010483613755343847
"('ตลอดไป',)",แกง,0.008875523965737197
"('โดน', 'ตลอดไป')",แกง,0.0067712860350572215
"('เลิก', 'น้อง')",แกง,0.01929329094241861
"('ค่ะ', 'ตัวเอง')",แกง,0.015793775320239543
"('นี่',)",แกง,0.008794371602174608
"('ตรงไหน',)",แกง,0.008774717514124293
"('นี่', 'ตรงไหน')",แกง,0.00669819816021252
"('ทุก',)",แกง,0.008736137267210713
"('โดน', 'ทุก')",แกง,0.006670574647010276
"('ได้', 'หนู')",แกง,0.010338207926032386
"('อย่า', 'พี่')",แกง,0.010323692446597475
"('ทำไม',)",แกง,0.011439014484905915
"('ไหม',)",แกง,0.008643729490172197
"('จะ', 'ไหม')",แกง,0.0066031202458875955
"('ก็',)",แกง,0.008608297395781098
"('อย่า', 'ก็')",แกง,0.006577602792529441
"('จะ', 'ให้')",แกง,0.010246283731181527
"('ถือว่า',)",แกง,0.00855669425831034
"('อย่า', 'ถือว่า')",แกง,0.006539284305015895
"('มัน', 'มาก')",แกง,0.04232401124587942
"('เปล่า',)",แกง,0.011284109149277688
"('ไม่', 'ลูก')",แกง,0.0155583340709923
(),แกง,0.44783715012722647
"('ลูก',)",แกง,0.022071678321678324
"('มาก', 'ฮือ')",แกง,0.00628537003040696
"('โดน',)",แกง,0.04447565543071161
"('ยังไง', 'ได้')",แกง,0.009132291255196283
"('โดน', 'ยังไง', 'ได้')",แกง,0.009121945714124486
"('ไม่', 'เคย')",แกง,0.009947104492579394
"('รึเปล่า',)",แกง,0.008380408467316407
"('ไม่', 'เคย', 'รึเปล่า')",แกง,0.0064207020401018415
"('ไม่',)",แกง,0.03466214636427402
"('ใช่ไหม', 'ทุกคน')",แกง,0.00537765448430396
"('ไม่', 'ใช่ไหม', 'ทุกคน')",แกง,0.005357962661333448
"('ให้', 'โดน')",แกง,0.0336030756036562
"('ส้ม',)",แกง,0.008274764221781703
"('สีผิว', 'กู')",แกง,0.00902158843335314
"('ส้ม', 'สีผิว', 'กู')",แกง,0.009012106884447311
"('โค', 'รต')",แกง,0.007171564899684082
"('ใบ', 'เขว')",แกง,0.005300085041337614
