date,content,username
2020-05-16 19:06:37+00:00,ถ้าแค่ไปคุมอัดร้องเขาไม่เรียกตัวเองว่า Producer รึเปล่าค่ะ #จกตา 55555,OopifzEve
2020-05-05 03:53:53+00:00,ดูรีวิวตู้หนังสือ โคตร ไม่เหมือนอะ #จกตา https://t.co/nQBfwXQuOy,yui1991_
2020-04-26 07:44:49+00:00,คิดถึงตอนประกวดทิฟฟานี้แล้วตกรอบ!!ทีหนูร้องไห้สิ..น่าจะเข้าใจคำว่าบูลลี่ดี..ลองกลับมาจนอีกครั้งไหม?ทั่งกลุ่มจะได้เข้าใจความจน..ไม่มีงาน..ไม่มีเงิน..ไม่มีคนรู้จักอีกครั้ง..อย่าทำนาบนหลังคน..สถาณะการประเทศไทยแบบนี้จะเห็นสันดานคนทัศนะคติทีแท้จริงก็ตอนนี้แหละ #สร้างภาพ #จกตา #นัทนิสา https://t.co/5TS6ukZ9Ld,OporLadyBoy69
2020-03-29 18:04:18+00:00,พักก่อนจ้าอี่สก๊อย ทำตัวไฮๆสูดท้ายสันดารสก๊อย ask real #จกตา #สก๊อย,Sopeababyneem
2020-03-09 16:14:44+00:00,"พูดอะไรให้เพื่อนฟังก็เหมือนพูดกับหมาเดี่ยวมันก็เอาไปเห่าให้คนอื่นฟัง
#ความหลับ #จกตา",dlpdct
2020-03-06 09:12:50+00:00,"ระวังนะค่ะ เพื่อนๆๆๆก็โดนมาเยอะ #จกตา

เวียดนามยัง 900 ของไทย แพงกว่านิดเดียวแต่ คุณภาพนะคะ

#เจลล้างมือแอลกอฮอล์ #หน้ากากอนามัยพร้อมส่ง #ไวรัสโคโรนา #COVID19 https://t.co/Hr74I3Pok5",Sukanya55895151
2020-03-02 16:16:31+00:00,@iiDudes @PPRP_Unofficial ตัวไร๊ #มองจากดาวอังคารยังรู้เลยว่าตอแหล #จกตา,Raoult_boy
2020-02-11 07:18:07+00:00,"แอคติ้งรออิวาสนา เอาไปเขียนโพสต์น้ำตาลูกผู้ชายชาติทหารเหรอ  มีสปริตลาออกหน่อย!!! แมนๆดิเห้ยยย 
อ้อลืมไปลาออกไม่ได้ต้องอยู่ผลาญงบประเทศต่อ🙄🙄  #กราดยิงโคราช #แถลงทั้งน้ำตา #จกตา #ตอแหลข้ามชาติ https://t.co/jCJWhVvxgK",minakawa69
2020-01-31 10:37:46+00:00,มันคือท่า #จกตา,bella_angellla
2020-01-28 05:01:40+00:00,เจอแต่ข่าวเชี้ยไรก็ไม่รู้ที่ได้เงินเร็วแต่ติดคุก  และได้เงินเรื่อยๆเพราะเรียกร้องคะแนนความสงสาร    ถ้าไม่เป็นโจรปล้นร้านทองก็เป็นขอทาน   #ลวงโลก  #จกตา  #ปลอม  !!!!!! มันถึงยุคที่คนมีเงินเขาต้องมาทำอะไรแบบนี้กันแล้วเหรอ,AGustzZ
2019-11-20 02:31:55+00:00,สุดท้ายก็ไม่ได้ถูกอย่างที่คิด และสุดท้ายคนที่เค้าไม่สามารถจ่ายเงินทีละหลายๆพันเพื่อเที่ยวที่ถูกลง ก็ต้องจ่ายที่ละเที่ยวอยู่ดี #จกตา,chuichatchavee
2019-09-19 06:28:14+00:00,"#มาแล้ววววว #จกตา
ช้าอดหมดก่อน
รีบจัดเลย
ลิปแท่งล่ะ49฿
2แท่ง90฿ 
คุ้มสุดคุ้มมากๆ🌈💧
สีสวย กันน้ำ แท่งไล่สีสวยมากๆ ฮิตมากในวัยรุ่น🤟💰
มี2สีให้เลือก
222 แดงตุ่น
227 ส้มอิฐ 
#สนใจสอบถามได้
📮: จ-ศ
#ชวนเพื่อนมาหาร  
#สนใจทักแชทเลยค้าาาาา 
#ลิป #ลิปสติก   #เครื่องสําอาง  #แต่งหน้า https://t.co/Me17tc4ZMf",panne50396597
2019-06-26 12:44:41+00:00,"👑👑 #มงลง ไม่ #จกตา สบู่ #อาร์แกน คือบับดี๊ย์...ดี ตรงที่ล้างหน้าแล้วผิวชุ่มชื่น ไม่ตึงหลังการล้าง ลดสาเหตุของการเกิดสิว ลดเลือนจุดด่างดำ ส่วนผสมไม่ 🐓ไก่กานะจ๊ะ

กลิ่นแบบหอมสดชื่นนะจ๊ะ  
ขนาด 100 กรัม
ราคา 195 บาท https://t.co/LBhavsTzAO",reviewboktoh
2019-06-01 13:23:20+00:00,"เราสงสารคนอื่น คนอื่นจะสงสารเราไหม 555555555555🔥🔥
#ปลง #จกตา #ต้องเร็วนะคะ #บาย",B_____amber
2019-05-15 06:42:08+00:00,สรุปเพื่อนกุบอกว่าเป็นรุก แต่ทำไมมันแอตเฟสรุกเต็มเฟรนด์เลยว่ะ #จกตา 🙄,urlgzs
2019-04-18 18:10:03+00:00,ร้อนจะตายยยย #จกตา https://t.co/dUPgipQeRH,cheerlab
2019-03-25 10:02:05+00:00,เกียจ ที่สุดคือ การที่คน มีผัว แต่กลับ บอก ไม่มี ผัว #จกตา #ขี้จ้ก #XDONGX,swh0hmN5ifSyBte
2019-03-24 23:23:54+00:00,ใจจริง งง ชิบหาย พลังประชารัฐ หน่ะ !! #จกตา,BeautyzKate
2019-03-02 05:38:25+00:00,ขาวจริงไม่มี #จกตา🔥 https://t.co/KoXQstaxjD,marisathaneerat
2018-11-03 15:36:47+00:00,มันตลกตรงที่ คุณบอกว่าคุณไม่ชอบผู้หญิงแต่งหน้า แล้วแฟนใหม่คุณแต่งหน้า คุณเป็นเหี้ยอะไรอ่ะ 🌼 #จกตา,CCSMIIII
2018-10-17 15:50:54+00:00,จะขิงเรื่องไหนก็ได้ แต่เรื่องหน้านี่อย่าให้พูดเยอะ #จกตา,kamewnew_
2018-08-31 13:15:39+00:00,"@.kristtps ทำไมไม่ตั้งชื่อไลน์ว่า Singtuan ไปด้วยเลยล่ะ!
คนเขาจะได้ไม่รู้ว่าแชทกับใคร!
#จกตา",Asp_om
2018-07-24 14:41:28+00:00,"#emmies #จือปาก #จกตา #เซ็กซี่ปะ 
#catstagram #catlover #cat 
#thisisacat #ทาสแมว @ มัสยิดอัลกุ๊บรอ @ อ่อนนุช 29 https://t.co/u6hh1Rv4GP",LLawoe
2018-07-14 17:33:36+00:00,"#​reviewschimz
#​รีวิวผู้ให้จริง
#แหกตา⁉️ #จกตา⁉️
#ห้ามเชื่อ‼️เด็ดขาดค่ะ
#อยากรู้ก็ต้องลอง
.
ทุกคนคงคิด #ใช้แอพรึเปล่า⁉️ #แต่งภาพรึเปล่า⁉️
#reviewschimz
พูดไปก็คงไม่เชื่อค่ะ… https://t.co/4Z0gMOpVRC",nwww_w_
2018-07-14 05:50:03+00:00,"#แหกตา⁉️ #จกตา⁉️
#ห้ามเชื่อ‼️เด็ดขาดค่ะ
#อยากรู้ก็ต้องลอง
.
ทุกคนคงคิด #ใช้แอพรึเปล่า⁉️ #แต่งภาพรึเปล่า⁉️
#reviewschimz
พูดไปก็คงไม่เชื่อค่ะ เพราะคุณไม่เปิดใจ ถ้าอยากรู้ต้องลองเองค่ะ @… https://t.co/dE7kdnRNPL",nwww_w_
2018-04-19 15:50:31+00:00,แฮ๊ชแท็กสำหรับวันนี้ #จกตา 55555 #บุพเพสันนิวาส,MAX639789
2018-04-14 13:08:57+00:00,เอางี้นะ “ซอนย่า คูลลิ่ง” ชื่อฝรั่งนามสกุลก็ฝรั่ง แล้วก็เป็นฝรั่งจริงๆด้วย ไม่มีทางที่จะไม่เก็ต phrase maybe in another life ของโจเซฟแน่ๆอะ #จกตา #สร้างดราม่า 555555 #TheFaceAllStars,hpghpl
2018-03-27 13:12:06+00:00,เห็นคนรีวิวขายของ บอกใช้สินค้าตัวนี้แล้วหน้าใสมากก แต่มึงแต่งหน้า!!! แค่นี้ก็จกตาแล้วเด้อ #จกตา,gornnatakorn
2018-03-27 05:59:16+00:00,"เรื่องจริง...ไม่เคยใช่
เรื่องที่ใช่...มันก็เลย
...ไม่เคยจริง...

#อกหัก #จกตา #ลวงตา #คําคมบาดจิต #แคปชั่นเศร้า #คิดมากไปหรือเปล่า #แคปชั่นโดนๆ #แคปชั่นความรู้สึก #ประโยคนึงสะดุ้งทั้งไทม์ไลน์ #ประโยคแซ่บแคปให้ด้วย #คำคมความรัก #เหนื่อยนักก็พักหน่อย #เจ็บไม่เคยจำ",QSiroros
2018-02-16 16:08:43+00:00,บางทีก็แอบรำคาญ ads  ม.ตัวเองบนรถไฟฟ้า #จกตา,satorugoojoo
2018-02-10 12:46:48+00:00,ตลกมิ้นเหมือนเดิม 5555 #จกตา อิหว่ะ #TheFaceAllStars,ap73_ap73
2017-12-29 23:47:35+00:00,เห็นหน้า ก็อื้มมมมมมจ่ะ #จกตา,iMa_BEll
2017-12-06 04:31:57+00:00,มินกยูไม่หล่อ คาริสม่ามาขนาดนี้ อายุแค่นี้ยังหล่อขนาดนี้ โต กว่านี้จะหล่อเว่อเบอร์ไหน #จกตา #โตแล้วแรดได้ https://t.co/Tc9P2wzZUG,PSN_94
2017-12-05 03:28:49+00:00,ซื้อธีมผ่านน้องคนนึงที่รู้จัก แต่ไม่รู้ว่านางขายเองหรือเปล่า แต่แอ็คที่ส่งให้ไม่ตั้งเหี้ยไรเลย คือพร้อมแหกตามากอะ นางร้ายมากเลย ชั้นเสียเงินและชั้นก็ใช้ไม่คุ้มด้วย #คนโกง #แหกตา #จกตา #ขายสติ๊กเกอร์ธีมไลน์ https://t.co/0vEHcDFw4w,marerye
2017-11-30 13:17:06+00:00,อยู่ตรงนั้นเป็นไงบ้าง อยู่ตรงนี้สืบขี้มูกรับสายอยู่นะ 555+ #จกตา #อลอัว 🧡🧡🧡🧡🧡,aooaee
2017-11-29 15:19:28+00:00,"ศัพท์ใหม่ วันนี้ขอเสนอคำว่า
อย่ามาจุ้บจิ้บ 
#จกตา
#ตอแหล
#LetMeInThailand3",Sujitta1805
2017-11-03 11:56:05+00:00,ลอยกะทงวันนี้ หากฆะเจ้าจะ #จกตา ข่อย ขอให้จกบ่ได้🍜 #สะดุ้งตื่น😴,909tinee
2017-11-03 11:27:49+00:00,@chompookimi ไม่หลุดแบบนี้ค่ะ เราใช้อยู่ #จกตา!!!,uuuimo
2017-11-02 23:29:37+00:00,ยอดเข้าตลอดใครบอก #จกตา เอามาเท่าไหร่ก็ไม่เคยพอขาย #ใครสะดวกจะรวยแวะมาเลยจ้าา ✋🏻,Meennie23
2017-09-09 10:54:48+00:00,ถึงเธอจะตายยาก..ก็เถอะ #เดี๋ยวจะทวงความยุติธรรมจากกูอีก #สวยเนอะ #เทพสุราขาว #จกตา 🙄🙄🙄 https://t.co/bPdkG8hW2D,Aloha_tikkie
2017-08-14 16:30:33+00:00,ทีตอนแรกบอกเป็นคนไม่ติดโทรศัพท์ #จกตา,PapployPloy
2017-07-18 16:29:21+00:00,@Koike_Tempei ใช้โอกาสเปลืองทุกรอบที่มีดราม่าแม่งดีอยู่คลิปเดียว #จกตา พัฒนาอะไร ? ความเหี้ยหรือว่าไง?,mooddarkblue
